iteration,train_loss,valid_loss,accuracy,norm_ED
2065,0.0244,0.19477,82.696,0.97
2070,0.02024,0.19147,83.694,0.97
2075,0.05015,0.18267,84.859,0.97
2080,0.02235,0.18516,84.359,0.97
2085,0.02655,0.18475,84.692,0.97
2090,0.01693,0.18602,84.692,0.97
2095,0.03161,0.19148,85.191,0.97
2100,0.09369,0.1996,83.361,0.97
2105,0.04489,0.17644,85.358,0.97
2110,0.02311,0.17528,85.857,0.98
2115,0.0079,0.18017,86.689,0.98
2120,0.0147,0.17981,86.689,0.98
2125,0.02226,0.17697,87.022,0.98
2130,0.01281,0.1747,86.356,0.98
2135,0.01493,0.17808,85.524,0.97
2140,0.03779,0.19694,86.023,0.97
2145,0.01395,0.19133,86.19,0.97
2150,0.00715,0.19443,85.857,0.97
2155,0.02353,0.19365,85.857,0.97
2160,0.0236,0.1941,86.522,0.97
2165,0.04477,0.18132,85.358,0.97
2170,0.02983,0.18689,84.027,0.97
2175,0.02452,0.19038,83.694,0.97
2180,0.03973,0.18046,84.692,0.97
2185,0.01403,0.18143,85.191,0.97
2190,0.01887,0.18605,86.356,0.97
2195,0.03551,0.19577,84.359,0.97
2200,0.02603,0.19444,84.692,0.97
2205,0.04864,0.18517,84.692,0.97
2210,0.03647,0.17102,85.524,0.97
2215,0.0638,0.18688,85.691,0.97
2220,0.07284,0.1907,84.359,0.97
2225,0.04367,0.18167,84.193,0.97
2230,0.05134,0.17297,85.524,0.98
2235,0.02588,0.17376,85.857,0.98
2240,0.00903,0.17657,86.689,0.98
2245,0.01947,0.1717,86.356,0.98
2250,0.01742,0.17672,86.855,0.98
2255,0.02254,0.17505,86.522,0.98
2260,0.02275,0.18015,85.191,0.97
2265,0.02446,0.19043,85.857,0.98
2270,0.03616,0.16926,87.354,0.98
2275,0.02284,0.17388,86.356,0.98
2280,0.01811,0.18042,87.354,0.98
2285,0.02035,0.17287,87.687,0.98
2290,0.02322,0.17564,87.188,0.98
2295,0.02713,0.18954,86.356,0.98
2300,0.01998,0.17954,86.522,0.98
2305,0.0498,0.17868,86.023,0.98
2310,0.04081,0.17722,86.356,0.97
2315,0.01817,0.17678,86.689,0.97
2320,0.0132,0.19183,86.689,0.97
2325,0.04684,0.18334,86.19,0.97
